movie_name,positive,negative,neutral
babyteeth,0.2291,0.0739,0.697
backcountry,0.1528,0.114,0.7332
bacurau,0.13615,0.11095,0.75285
bad_education,0.138,0.11135,0.75055
bad_education_2019,0.23575,0.107,0.6573
bad_lieutenant_port_of_call_new_orleans,0.1426,0.13585,0.72155
bad_santa,0.1894,0.1879,0.62275
baghead,0.10885,0.0962,0.795
bamako_2007,0.1223,0.0912,0.78645
bandslam,0.2096,0.02515,0.76535
baran,0.1758,0.05165,0.7725
barbara_2012,0.1343,0.1015,0.7642
barbarian_invasions,0.266,0.0789,0.65505
barbershop,0.2172,0.04435,0.7384
batman_begins,0.1668,0.0656,0.76755
battle_of_the_sexes,0.22875,0.06475,0.70655
battle_royale,0.133846154,0.162076923,0.704
be_natural_the_untold_story_of_alice_guy_blache,0.20145,0.0182,0.78035
beast,0.124,0.0618,0.81435
beasts_of_no_nation,0.09145,0.14685,0.76165
beasts_of_the_southern_wild,0.1898,0.0505,0.75965
beat_that_my_heart_skipped,0.13865,0.0932,0.76815
beats_2020,0.245,0.0471,0.70795
beats_rhymes_and_life_the_travels_of_a_tribe_called_quest,0.18715,0.04425,0.76855
beau_travail,0.1391,0.0263,0.8346
beaufort,0.1068,0.13695,0.7562
beautiful_country,0.19905,0.04065,0.7603
beautiful_mind,0.20895,0.04675,0.7443
before_midnight_2013,0.23745,0.0474,0.71505
before_night_falls,0.1507,0.02685,0.8225
before_sunset,0.3489,0.0502,0.60095
before_the_devil_knows_youre_dead,0.15515,0.14515,0.6998
beginners,0.2446,0.0849,0.67055
behind_the_candelabra,0.1928,0.07575,0.7314
behind_the_sun,0.1178,0.10825,0.7739
being_17,0.1184375,0.094,0.7875625
being_elmo_a_puppeteers_journey,0.2779,0.01095,0.71115
being_julia,0.19805,0.0436,0.75835
bend_it_like_beckham,0.23835,0.03835,0.72325
bernie_2011,0.25,0.05885,0.6912
best_in_show,0.1462,0.0119,0.8419
best_of_enemies_2015,0.2061,0.08015,0.71365
best_of_youth,0.25095,0.04115,0.7079
best_worst_movie,0.225,0.1116,0.66325
better_luck_tomorrow,0.182,0.06045,0.75745
beware_of_mr_baker,0.1584,0.0773,0.76425
beyond_the_gates,0.0998,0.1447,0.75575
beyond_the_hills_2012,0.1822,0.10535,0.7124
big_hero_6,0.26135,0.0513,0.6874
bigger_stronger_faster_asterisk,0.2362,0.06315,0.7006
biggie_and_tupac,0.1265,0.12935,0.74415
bill_cunningham_new_york_2010,0.2409,0.03775,0.7213
billy_elliot,0.1926,0.01875,0.7886
birdman_2014,0.15135,0.0863,0.7624
birds_of_passage_2019,0.114,0.06725,0.8187
black_balloon,0.19555,0.04205,0.7625
black_dynamite,0.21975,0.0186,0.76165
black_hawk_down,0.1004,0.19325,0.7064
black_panther_2018,0.1737,0.0411,0.78515
black_swan_2010,0.16275,0.08045,0.75675
blackfish_2013,0.1613,0.17295,0.6658
blackkklansman,0.16745,0.111,0.7215
blade_runner_2049,0.1293,0.0537,0.817
blame_it_on_fidel,0.24625,0.03635,0.71735
blancanieves,0.18285,0.043,0.7741
blaze_2018,0.17755,0.0385,0.78395
blind_spot_hitlers_secretary,0.05555,0.0723,0.87225
blinded_by_the_light,0.1784,0.01935,0.8022
blindsight,0.13665,0.06215,0.80115
blindspotting,0.11735,0.07715,0.80545
block_party,0.213,0.06115,0.72585
blood_on_her_name,0.2302,0.0784,0.6916
bloody_sunday,0.1603,0.1187,0.72105
blow_the_man_down,0.1523,0.084,0.7636
blue_car,0.1792,0.10865,0.7122
blue_is_the_warmest_color,0.25425,0.043,0.70265
blue_jasmine,0.136,0.0807,0.7833
blue_ruin,0.13865,0.1955,0.6661
blue_valentine,0.12785,0.09575,0.77645
bobby_fischer_against_the_world,0.165052632,0.091315789,0.743631579
body_of_war,0.095052632,0.156631579,0.748210526
bolt,0.2654,0.06135,0.6731
bombshell_the_hedy_lamarr_story,0.20005,0.06375,0.7361
bon_voyage_2004,0.2442,0.042,0.71375
bone_tomahawk,0.1622,0.0989,0.73895
booksmart,0.2745,0.04935,0.6762
borat,0.2273,0.1122,0.6604
borat_subsequent_moviefilm,0.1049,0.11595,0.77935
border_2018,0.1558,0.05425,0.7899
born_into_brothels,0.1774,0.08285,0.73975
born_to_be_wild_2011,0.2302,0.02915,0.74065
bourne_identity,0.2162,0.03085,0.753
bourne_supremacy,0.1735,0.07085,0.7557
bourne_ultimatum,0.16635,0.07425,0.7594
bowling_for_columbine,0.2035,0.1533,0.6431
boxing_gym,0.12035,0.03225,0.8474
boy_2012,0.20805,0.0431,0.7488
boy_a,0.10215,0.0825,0.8152
boy_and_the_world,0.14415,0.04735,0.8084
boyhood,0.14865,0.0433,0.8081
boys_state,0.1526,0.0457,0.80175
bpm,0.1562,0.0712,0.7725
brand_upon_the_brain,0.106842105,0.073052632,0.820157895
brave_2012,0.26205,0.0599,0.678
breach,0.22035,0.12695,0.6527
brick,0.16125,0.07235,0.7663
bridesmaids_2011,0.2727,0.05255,0.6748
bridge_of_spies,0.1976,0.0991,0.70335
bridge_to_terabithia,0.2195,0.074,0.7065
bridget_jones_diary,0.2632,0.05875,0.67815
bright_leaves,0.19235,0.0691,0.73865
bright_lights_starring_carrie_fisher_and_debbie_reynolds,0.223,0.06905,0.70805
bright_star,0.15375,0.09435,0.752
bring_it_on,0.19675,0.07065,0.7326
broadway_the_golden_age,0.1921,0.01075,0.79715
brokeback_mountain,0.182,0.0775,0.74045
broken_embraces,0.104,0.07675,0.81915
broken_flowers,0.22165,0.06415,0.7142
broken_wings_2002,0.1797,0.094,0.7263
brooklyn,0.2495,0.0495,0.70095
brooklyn_castle_2012,0.19145,0.04755,0.761
brotherhood_of_the_wolf,0.1375,0.08195,0.7805
brothers_2004,0.1564,0.05125,0.79225
bubba_ho_tep,0.24185,0.0848,0.6734
buck,0.15295,0.01825,0.8288
buffalo_soldiers,0.1026,0.1118,0.78555
bukowski_born_into_this,0.14115,0.05255,0.8064
bully_2012,0.1072,0.2139,0.67875
bumblebee,0.1784,0.03575,0.78575
bunuel_in_the_labyrinth_of_the_turtles,0.261142857,0.027785714,0.711071429
buried,0.0957,0.0895,0.8148
burma-vj,0.18295,0.09145,0.7256
burn_after_reading,0.18445,0.0972,0.71825
burning_2018,0.14625,0.0728,0.7809
bus_174,0.09385,0.1232,0.78295
business_of_strangers,0.16165,0.0297,0.80865
by_the_grace_of_god_2019,0.23585,0.05865,0.7055
cache_2005,0.10645,0.07785,0.81575
caesar_must_die_2012,0.1167,0.1045,0.77885
cairo_time,0.1427,0.0278,0.8295
call_me_by_your_name,0.21805,0.0397,0.74215
call_me_kuchu_2011,0.12705,0.16835,0.70475
calle_54,0.2244,0.0051,0.7705
calvary_2013,0.15135,0.11845,0.7301
cam,0.161,0.074526316,0.764526316
cameraperson,0.1433,0.02925,0.82745
can_you_ever_forgive_me,0.20385,0.08,0.71615
capernaum,0.09385,0.07465,0.83135
captain_america_civil_war,0.1651,0.0963,0.73845
captain_america_the_first_avenger,0.2544,0.04925,0.69635
captain_america_the_winter_soldier_2014,0.1856,0.06255,0.75175
captain_marvel,0.2686,0.05005,0.68145
captain_phillips,0.1643,0.0439,0.79185
capturing_the_friedmans,0.10765,0.0924,0.8
caramel,0.23815,0.0204,0.7415
carancho,0.1138,0.1142,0.772
carlos_2010,0.1384,0.08445,0.77715
carol,0.2266,0.03195,0.7414
cars,0.14965,0.0432,0.8071
cartel_land,0.10145,0.14175,0.7568
casino_jack_and_the_united_state_of_money,0.12565,0.0619,0.8125
casino_royale,0.1724,0.0358,0.7918
cast_away,0.1444,0.04715,0.8084
catch_me_if_you_can,0.24655,0.0487,0.70475
caterina_in_the_big_city,0.26585,0.03955,0.69465
catfish,0.1381,0.1048,0.75705
cats_meow,0.1814,0.05385,0.7648
cave_of_forgotten_dreams,0.14695,0.0281,0.8249
cave_of_the_yellow_dog,0.2091,0.04005,0.75085
cedar_rapids_2010,0.22795,0.06875,0.70335
cell-211,0.144388889,0.131,0.724722222
cemetery_of_splendor,0.13165,0.0422,0.8261
certain_women_2016,0.11095,0.04935,0.8398
certified_copy,0.2205,0.0565,0.72295
chained_for_life_2018,0.201866667,0.070466667,0.727733333
changing_lanes,0.17075,0.05915,0.77005
chaos2001,0.166166667,0.116722222,0.717055556
charlie_and_the_chocolate_factory,0.2198,0.0737,0.70645
charlie_wilsons_war,0.1807,0.08785,0.73145
charlies_angels,0.15715,0.09065,0.75215
charlotte_sometimes,0.240466667,0.021466667,0.7382
charlottes_web,0.18945,0.07025,0.7402
chasing_ice_2012,0.1283,0.07565,0.796
chavez_inside_the_coup,0.2207,0.04985,0.7295
che_part_two,0.1108125,0.0421875,0.846875
cheap_thrills_2013,0.17535,0.14695,0.6778
chef_2014,0.17885,0.03935,0.78185
cherry_blossoms_hanami,0.17,0.06595,0.76405
chicago,0.1567,0.0952,0.7482
chicago_10,0.11875,0.0326,0.84865
chicken_run,0.14,0.0675,0.7925
chico_and_rita,0.21375,0.036,0.75025
chihwaseon,0.1544,0.0581,0.78755
children_of_men,0.1901,0.077,0.73295
childs_pose,0.1243,0.09255,0.7831
chocolat,0.2197,0.0575,0.72275
chop_shop,0.10085,0.07475,0.8244
chopper,0.17705,0.1101,0.71295
chronicle,0.20355,0.0428,0.7536
chronicles_of_narnia_lion_witch_wardrobe,0.23695,0.04945,0.71365
chuck_and_buck,0.1963,0.09385,0.70975
chunhyangdyun_2000,0.199166667,0.007,0.793833333
cinderella_man,0.1853,0.0464,0.7683
circumstance,0.176,0.04625,0.77775
circus_of_books,0.236842105,0.018263158,0.744894737
citizen_jane_battle_for_the_city,0.1872,0.08205,0.7309
citizen_k,0.1411,0.04995,0.80895
citizenfour,0.14735,0.07095,0.7817
city_hall_2020,0.1456,0.0242,0.83
city_island,0.19585,0.07785,0.7262
city_of_ghosts_2017,0.10705,0.1892,0.7038
city_of_god,0.1856,0.09765,0.7168
city_of_life_and_death,0.13295,0.12525,0.74165
claim,0.191,0.0541,0.75485
clemency_2019,0.1241,0.0707,0.8051
closed_curtain,0.1533,0.0774,0.7694
closet,0.21565,0.04385,0.74055
clouds_of_sils_maria,0.20025,0.02315,0.7766
cloverfield,0.13545,0.07915,0.78545
cockettes,0.3105625,0.026125,0.66325
coco_2017,0.2285,0.02915,0.74235
code_unknown,0.14745,0.0768,0.77575
coded_bias,0.141285714,0.126714286,0.732142857
cold_war_2018,0.19075,0.08495,0.7243
colette_2018,0.19905,0.04535,0.75555
collateral,0.2395,0.0891,0.6714
collective_2020,0.16135,0.07525,0.7635
columbus_2017,0.1761,0.0405,0.7834
come_early_morning,0.13595,0.0027,0.86135
comedian,0.146,0.1012,0.75275
comedy_of_power,0.1507,0.07015,0.7791
command_and_control,0.118166667,0.152333333,0.729555556
compliance_2012,0.0981,0.166,0.7359
computer_chess_2013,0.20695,0.06775,0.72535
confessions_of_a_dangerous_mind,0.1736,0.06865,0.75775
constant_gardener,0.19795,0.08095,0.72105
contagion_2011,0.17145,0.16935,0.65915
control,0.1096,0.09435,0.796
control_room,0.17975,0.0578,0.7624
cooler,0.18725,0.04745,0.7653
coraline,0.29725,0.085,0.61785
coriolanus_2010,0.17275,0.09445,0.7327
cormans_world_exploits_of_a_hollywood_rebel,0.22225,0.06035,0.7175
corporation,0.1448,0.10475,0.75035
corpse_bride,0.13725,0.1316,0.73105
corpus_christi_2020,0.1449,0.0798,0.7753
countdown_to_zero,0.1389,0.1465,0.71465
coup_53,0.125,0.0825,0.7925
court,0.1599,0.1122,0.72805
crazy_heart,0.1947,0.0494,0.75575
crazy_rich_asians,0.2254,0.0714,0.7032
crazy_stupid_love_2011,0.18835,0.064,0.7476
creed_2015,0.1879,0.0509,0.7612
creed_ii,0.17455,0.07805,0.7473
crimson_gold,0.1427,0.09235,0.7649
crip_camp_a_disability_revolution,0.1946,0.0238,0.7816
cropsey,0.08065,0.1831,0.7362
crouching_tiger_hidden_dragon,0.2021,0.03145,0.76635
croupier,0.207333333,0.046722222,0.746111111
csa_the_confederate_states_of_america,0.13755,0.12255,0.74
curious_case_of_benjamin_button,0.154,0.07615,0.77
custody_2018,0.13365,0.10245,0.76385
cutie_and_the_boxer,0.1427,0.05005,0.8072
cyrus,0.22245,0.08755,0.6899
da_5_bloods,0.1208,0.0709,0.8083
dallas_buyers_club_2013,0.15505,0.0448,0.8002
damned_united,0.2121,0.1069,0.68085
dancer_in_the_dark,0.08605,0.1213,0.7926
dangerous_lives_of_altar_boys,0.17065,0.07795,0.75135
daniel_ellsberg_doc,0.0983,0.0697,0.8319
dark_days,0.09055,0.10805,0.80145
dark_horse_2016,0.18735,0.03355,0.7791
dark_money,0.102857143,0.089642857,0.807428571
dark_waters_2019,0.14585,0.1095,0.74465
darkest_hour_2017,0.11695,0.10455,0.77845
daughter_from_danang,0.18785,0.024,0.78815
david_byrnes_american_utopia,0.1713,0.03375,0.79495
dawn_of_the_dead,0.21235,0.12465,0.663
dawn_of_the_planet_of_the_apes,0.14295,0.0514,0.80565
dawson_city_frozen_time,0.186529412,0.040117647,0.773352941
day_i_became_a_woman,0.1935,0.0135,0.79305
de_palma,0.1865,0.02325,0.79025
de_rouille_et_dos_2012,0.0882,0.096,0.8157
de_zaak_alzheimer,0.16765,0.073,0.75925
deadpool,0.1335,0.07455,0.792
deadpool_2,0.18675,0.0666,0.7466
deadwood_the_movie,0.1771,0.03145,0.79145
